<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20161125,000000,14.8900000,14.8900000,14.5700000,14.8500000,5895736
20161128,000000,14.7500000,14.7500000,14.3550000,14.4800000,9322912
20161129,000000,14.2700000,14.7400000,14.2100000,14.6600000,13172869
20161130,000000,14.6000000,14.9750000,14.4200000,14.8600000,10056973
20161201,000000,14.7800000,15.2500000,14.7400000,15.1300000,9263256
20161202,000000,15.0800000,15.1450000,14.6250000,14.8350000,11244868
20161205,000000,15.2450000,15.3150000,15.2150000,15.2800000,3249647
20161206,000000,15.4950000,16.5000000,15.2850000,16.4900000,21525766
20161207,000000,16.9900000,17.5200000,16.8050000,17.3800000,24832391
20161208,000000,17.4700000,18.2650000,17.1800000,17.8750000,27883781
20161209,000000,17.9750000,17.9950000,17.2050000,17.3400000,16039958
20161212,000000,17.2150000,17.5150000,16.8650000,17.2500000,11993226
20161213,000000,17.2200000,17.9000000,17.0300000,17.4700000,14818142
20161214,000000,17.5000000,17.7800000,17.2450000,17.2450000,9690951
20161215,000000,17.5900000,18.2150000,17.5200000,18.1700000,22655911
20161216,000000,18.2200000,18.5200000,18.1050000,18.3250000,23652237
20161219,000000,18.0050000,18.0200000,17.4550000,17.5050000,14336081
20161220,000000,17.6000000,18.1250000,17.5300000,18.0750000,9493624
20161221,000000,18.2350000,18.4250000,17.8300000,17.9950000,11495745
20161222,000000,17.9050000,18.0900000,17.6850000,17.7500000,5004237
20161223,000000,18.4900000,18.6350000,17.8050000,17.8100000,15017642
20161227,000000,17.9050000,17.9860000,17.3850000,17.5400000,6266679
20161228,000000,17.5500000,17.6000000,17.1600000,17.5200000,7570065
20161229,000000,17.2300000,17.4050000,17.0200000,17.1100000,6213124
20161230,000000,17.1100000,17.2650000,16.8250000,17.2500000,5679822
20170102,000000,17.2000000,17.7350000,17.1450000,17.5450000,5049729
20170103,000000,17.5750000,17.8850000,17.1050000,17.7150000,13841931
20170104,000000,17.8500000,18.2850000,17.8310000,18.2600000,12878106
