<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20161005,000000,48.5000000,49.0000000,48.1000000,49.0000000,100
20161006,000000,48.6000000,48.6000000,48.6000000,48.6000000,10
20161007,000000,47.7000000,50.4000000,47.1000000,50.0000000,1710
20161010,000000,50.1000000,50.1000000,49.3000000,49.3000000,330
20161011,000000,49.2000000,52.0000000,49.2000000,49.5000000,400
20161012,000000,49.9000000,50.1000000,49.5000000,49.5000000,350
20161013,000000,50.4000000,50.4000000,48.0000000,49.1000000,680
20161014,000000,48.8000000,48.8000000,48.8000000,48.8000000,10
20161017,000000,49.3000000,49.5000000,48.6000000,48.6000000,160
20161018,000000,49.1000000,52.9000000,49.1000000,49.3000000,170
20161019,000000,50.1000000,51.1000000,49.9000000,50.8000000,250
20161020,000000,50.8000000,51.2000000,49.6000000,51.2000000,440
20161021,000000,51.1000000,52.9000000,49.3000000,52.0000000,1750
20161024,000000,51.7000000,53.0000000,51.4000000,52.4000000,300
20161025,000000,51.4000000,53.0000000,51.2000000,53.0000000,270
20161026,000000,53.8000000,54.0000000,51.3000000,52.6000000,470
20161027,000000,53.9000000,54.1000000,51.1000000,52.7000000,500
20161028,000000,50.9000000,52.8000000,50.0000000,52.5000000,430
20161031,000000,51.9000000,52.7000000,51.8000000,52.7000000,2690
20161101,000000,52.1000000,55.9000000,52.1000000,55.0000000,3740
20161102,000000,55.1000000,55.2000000,53.0000000,54.0000000,270
20161103,000000,53.9000000,53.9000000,53.9000000,53.9000000,30
20161107,000000,54.7000000,55.5000000,54.4000000,54.4000000,3370
20161108,000000,55.6000000,56.9000000,52.1000000,54.4000000,2620
20161109,000000,54.1000000,54.8000000,54.0000000,54.1000000,100
20161110,000000,53.8000000,53.9000000,53.7000000,53.9000000,70
20161111,000000,54.7000000,54.7000000,53.5000000,53.8000000,240
20161114,000000,54.0000000,54.0000000,53.9000000,53.9000000,40
20161115,000000,53.1000000,53.1000000,53.1000000,53.1000000,20
20161116,000000,54.4000000,74.7000000,53.9000000,61.5000000,11870
20161117,000000,61.0000000,61.0000000,57.9000000,58.4000000,4120
20161118,000000,58.4000000,58.5000000,56.2000000,57.1000000,2980
20161121,000000,57.1000000,57.1000000,56.0000000,56.2000000,590
20161122,000000,57.1000000,57.1000000,55.4000000,55.4000000,510
20161123,000000,55.3000000,56.4000000,55.3000000,56.1000000,760
20161124,000000,55.8000000,56.7000000,55.0000000,55.0000000,960
20161125,000000,55.6000000,56.6000000,54.0000000,56.6000000,3140
20161128,000000,56.6000000,58.5000000,56.6000000,56.7000000,500
20161129,000000,56.2000000,56.2000000,55.6000000,55.7000000,240
20161130,000000,56.1000000,56.2000000,55.4000000,56.1000000,100
20161201,000000,56.3000000,57.0000000,51.3000000,55.7000000,1930
20161202,000000,55.0000000,55.7000000,54.4000000,55.1000000,90
20161205,000000,55.1000000,55.1000000,54.1000000,54.1000000,30
20161206,000000,55.6000000,55.7000000,55.2000000,55.2000000,40
20161207,000000,55.1000000,55.1000000,53.0000000,54.6000000,480
20161208,000000,54.8000000,55.7000000,53.4000000,55.7000000,740
20161209,000000,55.0000000,57.0000000,53.3000000,55.0000000,1650
20161212,000000,55.0000000,55.0000000,53.5000000,55.0000000,420
20161213,000000,54.3000000,57.4000000,54.3000000,56.2000000,600
20161214,000000,56.3000000,56.5000000,55.0000000,55.0000000,100
20161215,000000,55.1000000,56.8000000,54.1000000,56.1000000,1570
20161216,000000,56.0000000,57.0000000,56.0000000,56.1000000,1740
20161219,000000,56.1000000,56.1000000,56.1000000,56.1000000,10
20161220,000000,56.6000000,60.0000000,55.0000000,58.2000000,4670
20161221,000000,58.0000000,61.0000000,58.0000000,60.3000000,870
20161222,000000,59.0000000,60.0000000,59.0000000,59.9000000,270
20161223,000000,59.1000000,60.9000000,59.1000000,60.7000000,90
20161226,000000,61.0000000,61.0000000,60.4000000,61.0000000,1040
20161227,000000,61.3000000,63.8000000,61.3000000,62.1000000,360
20161228,000000,61.1000000,61.5000000,61.0000000,61.0000000,140
20161229,000000,59.2000000,60.3000000,57.8000000,59.5000000,530
20161230,000000,59.4000000,60.9000000,59.3000000,60.9000000,510
20170103,000000,61.5000000,63.0000000,58.6000000,61.6000000,700
20170104,000000,63.9000000,86.1000000,63.6000000,70.2000000,5530
20170105,000000,69.2000000,72.2000000,68.0000000,70.3000000,570
20170106,000000,71.4000000,84.2000000,63.6000000,70.8000000,4590
20170109,000000,68.9000000,68.9000000,66.0000000,66.7000000,3290
20170110,000000,66.7000000,67.8000000,65.2000000,66.0000000,510
20170111,000000,66.4000000,69.4000000,66.4000000,68.1000000,2030
20170112,000000,68.3000000,69.4000000,65.5000000,69.4000000,580
20170113,000000,67.6000000,72.0000000,67.0000000,71.2000000,1740
20170116,000000,70.2000000,74.9000000,68.2000000,70.5000000,1320
20170117,000000,70.1000000,70.4000000,65.6000000,68.4000000,1110
20170118,000000,68.5000000,69.2000000,67.4000000,68.1000000,230
20170119,000000,67.1000000,68.8000000,65.0000000,68.2000000,700
20170120,000000,67.4000000,68.9000000,66.7000000,67.1000000,480
20170123,000000,68.0000000,69.6000000,68.0000000,68.5000000,170
20170124,000000,68.2000000,68.2000000,66.3000000,67.9000000,170
20170125,000000,67.2000000,68.0000000,66.0000000,68.0000000,230
20170126,000000,67.0000000,67.5000000,66.2000000,67.4000000,1220
20170127,000000,67.7000000,68.0000000,67.7000000,67.9000000,380
20170130,000000,67.3000000,67.3000000,67.3000000,67.3000000,10
20170131,000000,67.1000000,68.0000000,67.0000000,67.0000000,170
20170201,000000,66.4000000,66.4000000,60.5000000,66.2000000,370
20170202,000000,66.3000000,75.0000000,66.1000000,71.0000000,820
20170203,000000,71.1000000,72.3000000,68.0000000,69.4000000,770
20170206,000000,69.8000000,70.5000000,68.7000000,68.9000000,940
20170207,000000,69.7000000,70.1000000,67.0000000,68.7000000,650
20170208,000000,67.8000000,69.6000000,67.7000000,69.2000000,1180
20170209,000000,69.7000000,70.1000000,68.4000000,68.4000000,70
20170210,000000,69.8000000,71.0000000,63.6000000,67.8000000,4540
20170213,000000,68.7000000,68.7000000,66.6000000,66.6000000,180
20170214,000000,66.1000000,66.4000000,65.0000000,66.0000000,510
20170215,000000,64.8000000,66.0000000,64.8000000,66.0000000,50
20170216,000000,66.0000000,66.0000000,60.1000000,63.8000000,700
20170217,000000,64.0000000,64.0000000,63.3000000,63.3000000,80
20170220,000000,63.2000000,64.4000000,63.2000000,64.4000000,280
20170221,000000,64.4000000,65.4000000,64.4000000,65.4000000,130
20170222,000000,65.0000000,65.5000000,64.6000000,65.5000000,60
20170224,000000,65.0000000,65.0000000,65.0000000,65.0000000,320
20170227,000000,64.5000000,64.5000000,64.0000000,64.0000000,430
20170228,000000,64.0000000,64.3000000,63.0000000,63.0000000,170
20170301,000000,63.9000000,63.9000000,63.8000000,63.8000000,40
20170302,000000,62.6000000,63.8000000,62.4000000,63.8000000,90
20170303,000000,62.2000000,62.2000000,62.2000000,62.2000000,10
20170306,000000,63.6000000,64.1000000,63.0000000,63.8000000,270
20170307,000000,63.7000000,63.7000000,62.3000000,63.0000000,110
20170309,000000,62.3000000,62.3000000,60.7000000,61.1000000,200
20170310,000000,60.6000000,69.9000000,55.0000000,63.9000000,2840
20170313,000000,65.1000000,65.1000000,64.1000000,64.3000000,80
20170314,000000,62.8000000,64.9000000,62.8000000,64.9000000,30
20170316,000000,64.9000000,65.1000000,64.9000000,64.9000000,120
20170317,000000,65.4000000,65.5000000,65.4000000,65.5000000,40
20170321,000000,64.0000000,65.0000000,64.0000000,65.0000000,50
20170322,000000,64.0000000,64.0000000,64.0000000,64.0000000,10
20170323,000000,64.1000000,66.0000000,64.1000000,66.0000000,70
20170324,000000,66.0000000,66.0000000,65.0000000,65.0000000,20
20170327,000000,64.1000000,64.1000000,64.1000000,64.1000000,50
20170328,000000,64.1000000,68.0000000,62.0000000,68.0000000,110
20170329,000000,63.3000000,82.9000000,63.0000000,67.5000000,740
20170330,000000,67.1000000,67.1000000,67.0000000,67.0000000,30
20170331,000000,67.1000000,67.1000000,61.3000000,62.9000000,9330
20170403,000000,63.1000000,63.1000000,58.2000000,60.3000000,820
20170404,000000,58.4000000,62.3000000,58.3000000,60.2000000,320
20170405,000000,60.3000000,60.8000000,60.0000000,60.0000000,5930
20170406,000000,60.8000000,62.4000000,60.2000000,61.7000000,40
20170407,000000,61.8000000,61.8000000,60.1000000,60.8000000,30
20170410,000000,62.4000000,62.5000000,61.0000000,62.0000000,70
20170411,000000,61.0000000,61.0000000,58.6000000,60.0000000,180
20170412,000000,59.1000000,61.0000000,59.1000000,60.0000000,270
20170413,000000,60.1000000,60.1000000,60.0000000,60.0000000,470
20170414,000000,59.3000000,60.9000000,59.3000000,60.9000000,40
20170417,000000,60.0000000,60.0000000,59.4000000,59.4000000,320
20170418,000000,59.4000000,59.4000000,57.5000000,58.9000000,280
20170419,000000,57.3000000,58.9000000,57.1000000,57.1000000,70
